video,numFrame,seconds,fps,rfps,subset,featureFrame,duration_second,duration_frame
v_-TIFhuhUePA,1945,64.993,30,29.92629976,testing,1936,64.99,1945
v_-TWiYyvt2Ec,3683,123.21,30,29.89205422,validation,3680,123.21,3683
v_-TddN8oBvhQ,2583,107.927,24,23.9328435,validation,2576,107.93,2583
v_-TmWR_keSfI,3146,104.955,30,29.97475108,testing,3136,104.95,3146
v_-TubttTNt90,6614,220.52,30,29.99274442,validation,6608,220.52,6614
v_-Tus9Ryuc-k,5571,185.946,30,29.96031106,testing,5568,185.95,5571
v_-TuxT19bogQ,1032,41.332,25,24.96854737,validation,1024,41.33,1032
v_-U4lNtzVQ8s,2225,89.19,25,24.94674291,validation,2224,89.19,2225
v_-UQbRLLGjRE,5674,189.382,30,29.96060872,testing,5664,189.38,5674
v_-UWE4jXuLoo,5410,180.58,30,29.95902093,validation,5408,180.58,5410
v_-UfNSW7yeSo,2287,153.484,15,14.90057596,training,2288,153.48,2287
v_-UwqKYkkKlU,1916,64.0,30,29.9375,validation,1920,64.0,1916
v_-V00wKlFJA0,2775,92.72,30,29.92881795,training,2768,92.72,2775
v_-V5_GMuMzc8,5195,216.55,24,23.98984068,training,5200,216.55,5195
v_-VKGwqL83w8,3531,117.95700000000001,30,29.934637199999997,validation,3536,117.96,3531
v_-VcxQ6i6Ejk,2565,102.75,25,24.96350365,validation,2560,102.75,2565
v_-Vu1wUnFZvU,4576,190.77599999999998,24,23.98624565,testing,4576,190.78,4576
v_-Wmrg_0jxA8,2790,93.15899999999999,30,29.94879722,training,2784,93.16,2790
v_-WrOnvkUTXg,1089,36.455,30,29.87244548,validation,1088,36.45,1089
v_-Ws0UnqETac,2203,73.561,30,29.94793437,testing,2208,73.56,2203
v_-X7fBYN5fBc,764,25.541999999999998,30,29.91151828,training,768,25.54,764
v_-XCESzrIWXA,5128,171.15400000000002,30,29.96132138,training,5120,171.15,5128
v_-Xl95IW5H_s,4276,178.21,24,23.99416419,training,4272,178.21,4276
v_-XqCigUiMFI,3426,114.38,30,29.95278895,testing,3424,114.38,3426
v_-YAhgJdZ4TU,4564,152.23,30,29.98094988,testing,4560,152.23,4564
v_-YMpwZkNc2A,4875,162.75,30,29.95391705,training,4880,162.75,4875
v_-YPp9kc3XDs,5021,167.42,30,29.990443199999998,training,5024,167.42,5021
v_-YVhOi8vt_Q,646,21.967,29,29.40774799,training,640,21.97,646
v_-YjGbsbDoxs,4869,162.35,30,29.990760700000003,training,4864,162.35,4869
v_-YreL-4QCLg,1250,41.75,30,29.94011976,training,1248,41.75,1250
v_-YwrMtiqHKg,4516,150.63,30,29.98074753,testing,4496,150.63,4516
v_-Z98HU6T7J8,3956,131.96,30,29.97878145,validation,3952,131.96,3956
v_-ZBsdK10Trs,1473,49.25,30,29.90862944,validation,1472,49.25,1473
v_-ZDCHvzbnoU,4344,145.06,30,29.94622915,validation,4336,145.06,4344
v_-_N_l6HZiak,359,15.07,24,23.82216324,testing,352,15.07,359
v_-_gDSRlC1kg,1629,65.225,25,24.97508624,validation,1632,65.22,1629
v_-aE1lALKV9M,5646,225.907,25,24.99258544,testing,5648,225.91,5646
v_-aGpz-Ndctw,1540,51.433,30,29.94186612,testing,1536,51.43,1540
v_-aWU5Yj_OPw,450,15.09,30,29.82107356,training,448,15.09,450
v_-ap649M020k,6380,212.92700000000002,30,29.96332076,training,6384,212.93,6380
v_-b2lkhdJXf4,3224,107.671,30,29.94306731,training,3216,107.67,3224
v_-b_3CyA0NeA,1246,41.66,30,29.90878541,testing,1248,41.66,1246
v_-boJqGIgV9I,2020,67.408,30,29.96676952,training,2016,67.41,2020
v_-bqaXU4s8Qs,1659,55.357,30,29.969109600000003,validation,1664,55.36,1659
v_-byL2szHXXE,6164,205.53,30,29.99075561,testing,6160,205.53,6164
v_-c-vnHG9Yho,4832,161.29,30,29.95845992,testing,4832,161.29,4832
v_-c71seS8bWk,6393,213.37,30,29.96203777,training,6384,213.37,6393
v_-cAcA8dO7kA,347,11.63,30,29.83662941,testing,352,11.63,347
v_-cApkmTI3F8,187,19.04,10,9.821428571,training,192,19.04,187
v_-cJova7MiO8,879,29.513,30,29.78348524,validation,880,29.51,879
v_-ceM4HHukhE,6321,210.977,30,29.96061182,training,6320,210.98,6321
v_-crpjVnFv0U,2685,89.65,30,29.949804800000003,testing,2688,89.65,2685
v_-cwPzzcNpGs,1963,131.89,15,14.88361513,training,1968,131.89,1963
v_-deoJLN27hE,6822,227.74200000000002,30,29.95494902,training,6816,227.74,6822
v_-doxoUNGLJE,6188,206.565,30,29.95667223,validation,6192,206.56,6188
v_-e9e4ke_wJk,817,28.21,29,28.96136122,validation,816,28.21,817
v_-eCMRApm6n4,5899,196.975,30,29.94796294,training,5904,196.97,5899
v_-eJT11AuOa0,1652,69.03,24,23.93162393,testing,1648,69.03,1652
v_-erT3ckPkAg,1485,50.108999999999995,30,29.63539484,validation,1488,50.11,1485
v_-ew9R4QppTk,5525,184.50599999999997,30,29.94482564,training,5520,184.51,5525
v_-fBTCykx4gM,3104,103.56,30,29.97296253,training,3104,103.56,3104
v_-fBxVUu0KcQ,2612,145.172,18,17.99245033,training,2608,145.17,2612
v_-fLJHBqizNM,2177,72.7,30,29.94497937,training,2176,72.7,2177
v_-fMxoShIXiM,3509,117.16799999999999,30,29.94845009,training,3504,117.17,3509
v_-fWbEt6saQ0,4419,176.82,25,24.9915168,testing,4416,176.82,4419
v_-faeAVsbBG0,2138,85.78,25,24.92422476,validation,2128,85.78,2138
v_-fjUWhSM6Hc,4952,198.14,25,24.9924296,training,4944,198.14,4952
v_-fuvIQpA-QQ,5937,198.113,30,29.96774568,training,5936,198.11,5937
v_-g-qMUjVA-s,1565,62.693999999999996,25,24.96251635,validation,1568,62.69,1565
v_-gHcnPAhXWY,445,14.91,30,29.84574111,testing,448,14.91,445
v_-gZjpAPEhR4,2040,68.128,30,29.94363551,training,2032,68.13,2040
v_-h1jccLMbjM,1176,39.29,30,29.93128022,testing,1168,39.29,1176
v_-h3NbdE8N9M,5375,179.4,30,29.96098105,training,5376,179.4,5375
v_-hEr3ydGyoM,5286,176.472,30,29.95376037,validation,5280,176.47,5286
v_-hiRu8Sh7Tk,2060,68.8,30,29.94186047,testing,2064,68.8,2060
v_-ibmoYKRxQk,3652,121.905,30,29.95775399,training,3648,121.91,3652
v_-ixct4B3dtg,6295,210.1,30,29.96192289,testing,6288,210.1,6295
v_-jNouTszLJ0,3095,103.26,30,29.97288398,validation,3088,103.26,3095
v_-jl_v7zi17A,6420,214.553,30,29.92267645,training,6416,214.55,6420
v_-kAlrG4jS9M,4390,146.611,30,29.94318298,training,4384,146.61,4390
v_-kAzTQi_pQA,2741,91.67,30,29.90073088,testing,2736,91.67,2741
v_-kky8-yaEPg,1129,37.803000000000004,30,29.865354600000003,training,1120,37.8,1129
v_-kmomJph-6E,455,18.344,25,24.80375055,training,448,18.34,455
v_-kuXhOsHAc4,6969,232.595,30,29.96195103,training,6960,232.59,6969
v_-l16smV_uYg,4729,157.85,30,29.95882167,validation,4720,157.85,4729
v_-l18hJp8ShE,2293,95.74,24,23.95028201,validation,2288,95.74,2293
v_-l5e1zVzQOQ,4161,138.786,30,29.98141023,training,4160,138.79,4161
v_-lER_VO9LUo,761,25.45,30,29.90176817,training,752,25.45,761
v_-lEsnrNNZFU,3060,102.075,30,29.97795738,validation,3056,102.08,3060
v_-lGMxgEoYVE,719,24.03,30,29.92093217,testing,720,24.03,719
v_-lJS58hyo1c,1057,35.3,30,29.94334278,training,1056,35.3,1057
v_-lV2zo5XsCg,917,30.67,30,29.89892403,training,912,30.67,917
v_-mWhX_yXOS8,2295,76.7,30,29.92177314,testing,2288,76.7,2295
v_-mX18jJkPDk,5681,189.62,30,29.95991984,validation,5664,189.62,5681
v_-n0F3QTuxug,457,15.3,30,29.86928105,validation,432,15.3,457
v_-nl4G-00PtA,185,6.22,30,29.74276527,testing,176,6.22,185
v_-nlAKyoyIuU,6401,213.671,30,29.95727076,validation,6400,213.67,6401
v_-npRRmY2wBs,3434,114.661,30,29.94915446,validation,3424,114.66,3434
v_-nskwoky7vk,4009,160.43,25,24.98909182,training,4000,160.43,4009
v_-ntEh6HpeX0,6930,231.085,30,29.9889651,training,6928,231.09,6930
v_-nzBW4S8UqA,4935,164.56,30,29.98906174,testing,4912,164.56,4935
v_-o3M0VV74gw,432,14.47,30,29.85487215,testing,432,14.47,432
v_-oExUcmbTEE,1461,48.9,30,29.87730061,validation,1456,48.9,1461
v_-oJb3Acw-_s,5746,191.8,30,29.95828989,validation,5744,191.8,5746
v_-od9zDziq9U,5390,180.071,30,29.93263768,training,5376,180.07,5390
v_-p7aui3nAnc,1936,77.509,25,24.97774452,testing,1936,77.51,1936
v_-pK2JheWido,3252,108.6,30,29.94475138,testing,3248,108.6,3252
v_-pLiSHAz4fo,3338,111.43299999999999,30,29.95521973,training,3328,111.43,3338
v_-pkfcMUIEMo,3133,104.49,30,29.9837305,testing,3136,104.49,3133
v_-qGmUrF_7v4,6145,204.963,30,29.98102096,training,6128,204.96,6145
v_-qXqnltHWtE,6396,213.46200000000002,30,29.96317846,training,6400,213.46,6396
v_-qcPtBHelmc,3366,134.69899999999998,25,24.98904966,validation,3360,134.7,3366
v_-qtdjw3MYcY,384,15.419,25,24.9043388,training,384,15.42,384
v_-r-4Ncgbj8E,1435,57.516000000000005,25,24.94957925,testing,1440,57.52,1435
v_-rCYwovSK4s,3430,114.5,30,29.95633188,validation,3424,114.5,3430
v_-rJVr9sQ1h8,3215,107.369,30,29.94346599,training,3216,107.37,3215
v_-rKS00dzFxQ,6934,231.43400000000003,30,29.96102561,training,6928,231.43,6934
v_-r_bvqjYjYg,1978,66.06,30,29.94247654,validation,1968,66.06,1978
v_-rwKyNnz89s,4448,177.912,25,25.00112415,training,4448,177.91,4448
v_-rx6D1uBsUU,5519,220.822,25,24.99298077,training,5520,220.82,5519
v_-s1MQAiOMeY,3146,125.9,25,24.98808578,training,3136,125.9,3146
v_-sXrwv7C5CI,1621,54.15,30,29.93536473,training,1616,54.15,1621
v_-sd2XAFkeC0,6916,230.62,30,29.98872604,validation,6912,230.62,6916
v_-t2ikmhg9_w,5829,194.58,30,29.956830100000005,training,5824,194.58,5829
v_-tQr3fi7nWE,1171,39.13,30,29.92588807,testing,1168,39.13,1171
v_-t_Zhm1b0FI,4185,139.55200000000002,30,29.98882137,training,4176,139.55,4185
v_-tv6laq1ic0,1648,54.99,30,29.96908529,training,1648,54.99,1648
v_-tvhSol-wTs,3777,126.09,30,29.95479419,training,3776,126.09,3777
v_-u2zAMnrCC4,4825,161.05,30,29.95963986,validation,4816,161.05,4825
v_-uICMT1yOcM,3171,105.906,30,29.94164637,training,3168,105.91,3171
v_-uJnucdW6DY,6592,220.08,30,29.95274446,testing,6576,220.08,6592
v_-uR5-jYe0Ag,995,33.28,30,29.89783654,validation,992,33.28,995
v_-uZnWuW8fB8,1568,52.52,30,29.85529322,testing,1552,52.52,1568
v_-ucwgrxTBEg,5783,193.03,30,29.95907372,training,5776,193.03,5783
v_-ux1hQSR1AM,1606,53.64,30,29.94034303,training,1600,53.64,1606
v_-v-Zail6TNw,961,32.11,30,29.92837122,training,960,32.11,961
v_-v9YLmGCYO0,2164,72.26100000000001,30,29.94699769,training,2144,72.26,2164
v_-vDMeHr1ZfI,6863,229.09,30,29.95765856,training,6864,229.09,6863
v_-vKXPND_mD8,239,8.081,30,29.57554758,training,240,8.08,239
v_-vPshfXc1fc,1405,46.951,30,29.92481523,training,1408,46.95,1405
v_-vY2uUmv6Dk,3570,142.85,25,24.99124956,testing,3568,142.85,3570
v_-vnSFKJNB94,2549,106.37,24,23.96352355,testing,2544,106.37,2549
v_-voGnJbk3CI,2307,77.07,30,29.93382639,validation,2304,77.07,2307
v_-vqefJDOxkw,179,6.04,30,29.63576159,training,176,6.04,179
v_-wFNUGYf298,5601,224.1,25,24.99330656,training,5600,224.1,5601
v_-wOaPhSf6OE,6092,203.31,30,29.96409424,testing,6096,203.31,6092
v_-wWtZjqIH9o,558,19.32,29,28.88198758,training,560,19.32,558
v_-wXbBZDSIa8,756,25.264,30,29.92400253,validation,752,25.26,756
v_-wcSkAAeOK8,6626,224.82,29,29.47246686,training,6624,224.82,6626
v_-x1twrM_ABM,5232,174.451,30,29.99122963,training,5232,174.45,5232
v_-xDx4qvX3KQ,6425,214.483,30,29.95575407,testing,6416,214.48,6425
v_-xQvJmC2jhk,2848,95.086,30,29.95183308,training,2848,95.09,2848
v_-xiKk3ZKDt8,1164,38.96,30,29.87679671,testing,1168,38.96,1164
v_-y5p8UMdM20,4227,141.11,30,29.95535398,training,4224,141.11,4227
v_-y8LMGQt8uI,6112,203.988,30,29.96254682,training,6112,203.99,6112
v_-yOwB5rvMAo,2158,72.075,30,29.94103365,training,2160,72.08,2158
v_-ySxFjhhK4Y,4569,152.37,30,29.98621776,training,4560,152.37,4569
v_-yn3D1fOfr0,2418,80.736,30,29.94946492,training,2416,80.74,2418
v_-ypKYhjrlXw,6376,212.81099999999998,30,29.96085729,training,6368,212.81,6376
v_-z0ZvJD9gY4,3312,110.5,30,29.97285068,training,3312,110.5,3312
v_-zHX3Gdx6I4,1507,50.34,30,29.93643226,training,1504,50.34,1507
v_-zIN0_GSaWM,2295,76.72,30,29.91397289,testing,2272,76.72,2295
v_-zZJmRT9udU,4845,161.751,30,29.95344696,validation,4848,161.75,4845
v_-zfOvigQLdA,606,24.29,25,24.94853849,training,608,24.29,606
v_-zjG7ZdFlrQ,3692,123.15899999999999,30,29.97750875,testing,3680,123.16,3692
v_-zlGTPxjils,3028,101.03,30,29.97129565,testing,3024,101.03,3028
v_-zp0Sban5Wk,5589,186.55,30,29.959796299999997,training,5584,186.55,5589
v_0-4oritGq84,5976,199.46,30,29.96089441,testing,5968,199.46,5976
v_0-CYG7bH54A,3143,125.83,25,24.97814512,training,3136,125.83,3143
v_0-F3q8Aj9Zk,6214,207.4,30,29.96142719,training,6208,207.4,6214
v_0-ReTddxkhg,747,74.955,10,9.965979588,training,736,74.95,747
v_0-auIBOTx9E,4542,151.65,30,29.95054402,training,4544,151.65,4542
v_0-kEI13BtcY,4741,158.244,30,29.96006168,training,4736,158.24,4741
v_0-zXxER0-g0,3146,105.024,30,29.95505789,testing,3136,105.02,3146
v_00Dk03Jr70M,3803,152.347,25,24.96274951,training,3792,152.35,3803
v_00KMCm2oGhk,945,31.555999999999997,30,29.94676131,validation,944,31.56,945
v_00S8I27qDU4,933,37.41,25,24.93985565,training,928,37.41,933
v_00SfeRtiM2o,5274,175.868,30,29.98840039,validation,5264,175.87,5274
v_00ZRoqhhb8g,2175,72.56,30,29.97519294,validation,2176,72.56,2175
v_01_BrVxYsE0,5008,208.98,24,23.9640157,validation,5008,208.98,5008
v_01m9yM04RwY,2191,73.17,30,29.94396611,testing,2192,73.17,2191
v_01vNlQLepsE,287,11.703,25,24.52362642,validation,288,11.7,287
v_01yWsvgvmug,1997,83.26700000000001,24,23.98309054,testing,2000,83.27,1997
v_029IFU5pBqI,5323,222.076,24,23.96927178,testing,5328,222.08,5323
v_02V8Hz-M6BM,1382,55.427,25,24.93369657,training,1376,55.43,1382
v_02WlEYafQ9Q,1920,80.086,24,23.97422771,training,1920,80.09,1920
v_02yDi9BaDO8,2328,77.81,30,29.91903354,training,2320,77.81,2328
v_03BMaaMEcNo,4668,186.78099999999998,25,24.99183536,training,4672,186.78,4668
v_03JdaRepHkA,3699,123.48,30,29.95626822,validation,3696,123.48,3699
v_03KTIy44yTo,962,96.43299999999999,10,9.975838147000001,training,960,96.43,962
v_03c6QhTMDSs,4851,161.91,30,29.96108949,testing,4848,161.91,4851
v_03xBbhjqQzw,709,23.708000000000002,30,29.90551713,testing,704,23.71,709
v_045Tkq12H_c,6937,231.92,30,29.91117627,validation,6944,231.92,6937
v_047dUA_39x8,2430,81.131,30,29.95155982,training,2432,81.13,2430
v_04LdesS7Pxk,5547,185.13,30,29.96272889,training,5552,185.13,5547
v_04ketA7YN-0,2820,112.85,25,24.98892335,testing,2816,112.85,2820
v_04qggWACGWk,2592,86.54,30,29.95146753,testing,2592,86.54,2592
v_05BGDQvQ2YM,5208,173.755,30,29.97323818,validation,5200,173.75,5208
v_06Eq9tgprBw,5161,172.59,30,29.90323889,validation,5152,172.59,5161
v_06dIgOEgYp0,7122,237.703,30,29.961759000000004,training,7120,237.7,7122
v_06eyqLosXjU,6825,227.78799999999998,30,29.96206999,training,6816,227.79,6825
v_06ofnvq2Hjs,6097,203.5,30,29.96068796,training,6096,203.5,6097
v_06r6DtoTtSQ,3773,125.95,30,29.95633188,validation,3776,125.95,3773
v_071ZYjqfq3o,1866,155.55,12,11.99614272,testing,1856,155.55,1866
v_079MEwdDNjg,4882,162.795,30,29.98863601,validation,4880,162.79,4882
v_07G2P4soRZw,4948,197.92700000000002,25,24.99911584,testing,4944,197.93,4948
v_07GFy_Z7Nuc,1801,60.16,30,29.93683511,training,1792,60.16,1801
v_085A7Iv6xzA,4822,160.96,30,29.95775348,training,4816,160.96,4822
